Wall time,Step,Value
1714142372.5980246,47447,11861.75
1714145226.4697104,89571,11196.375
1714147436.6104193,118797,9899.75
1714149834.6967087,146193,9137.0625
1714152700.6658528,175403,8770.150390625
1714155648.1872885,213613,8900.5419921875
1714158054.0691593,243424,8693.7138671875
1714160896.755331,277209,8662.78125
1714164461.373527,318367,8843.52734375
1714167634.802795,356761,8919.025390625
1714170665.2902982,389918,8861.7724609375
1714173134.3727405,417439,8696.6455078125
1714178188.804566,470256,9043.384765625
1714180631.1814697,497812,8889.5
1714183403.8661985,524871,8747.849609375
1714187273.1149597,563484,8804.4375
1714189909.1978555,595198,8752.912109375
1714192849.508607,630551,8757.65234375
1714194829.447697,653881,8603.697265625
1714197115.3937469,681398,8517.474609375
1714199404.2528703,708739,8437.369140625
1714202086.0904145,740669,8416.693359375
1714203964.0437307,763096,8294.521484375
1714205839.9358902,785195,8179.11474609375
1714208114.6159956,812242,8122.419921875
1714210493.4495852,840244,7927.97021484375
1714213272.495391,873126,7835.5498046875
1714215627.3925838,900931,7821.33984375
1714217577.9236283,924051,7778.580078125
1714220393.8732393,957368,7819.64990234375
1714222422.5236423,981264,7676.509765625
