Wall time,Step,Value
1714142372.5980246,47447,19450.0
1714145226.4697104,89571,17100.0
1714147436.6104193,118797,14233.3330078125
1714149834.6967087,146193,11937.5
1714152700.6658528,175403,10645.0
1714155648.1872885,213613,10362.5
1714158054.0691593,243424,10096.4287109375
1714160896.7563336,277209,9681.25
1714164461.3745244,318367,10030.5556640625
1714167634.802795,356761,9952.5
1714170665.2902982,389918,10425.0
1714173134.3727405,417439,9879.1669921875
1714178188.804566,470256,11732.6923828125
1714180631.1814697,497812,11255.357421875
1714183403.8661985,524871,10723.3330078125
1714187273.1149597,563484,11153.125
1714189909.1978555,595198,11613.2353515625
1714192849.508607,630551,11345.8330078125
1714194829.447697,653881,10893.4208984375
1714197115.3937469,681398,10473.75
1714199404.2528703,708739,10201.1904296875
1714202086.0904145,740669,10312.5
1714203964.0437307,763096,10050.0
1714205839.9358902,785195,9814.5830078125
1714208114.6159956,812242,9704.0
1714210493.4495852,840244,9173.0
1714213272.495391,873126,9093.0
1714215627.3925838,900931,8946.0
1714217577.9236283,924051,8844.0
1714220393.8732393,957368,9103.0
1714222422.5236423,981264,8849.0
