Wall time,Step,Value
1714142372.5980246,47447,7.0
1714145226.4697104,89571,17.0
1714147436.6104193,118797,25.0
1714149834.6967087,146193,34.0
1714152700.6658528,175403,42.0
1714155648.1862907,213613,51.0
1714158054.0681581,243424,59.0
1714160896.755331,277209,66.0
1714164461.373527,318367,75.0
1714167634.8017883,356761,84.0
1714170665.2902982,389918,90.0
1714173134.3727405,417439,99.0
1714178188.8035653,470256,112.0
1714180631.1804664,497812,117.0
1714183403.8656783,524871,126.0
1714187273.1149597,563484,136.0
1714189909.1978555,595198,143.0
1714192849.5076072,630551,152.0
1714194829.447697,653881,160.0
1714197115.3937469,681398,168.0
1714199404.2528703,708739,174.0
1714202086.0904145,740669,184.0
1714203964.0437307,763096,192.0
1714205839.9358902,785195,199.0
1714208114.6159956,812242,208.0
1714210493.4485857,840244,217.0
1714213272.495391,873126,224.0
1714215627.3925838,900931,233.0
1714217577.9236283,924051,240.0
1714220393.8732393,957368,248.0
1714222422.5236423,981264,258.0
