Wall time,Step,Value
1714142372.5980246,47447,5.0
1714145226.4697104,89571,9.0
1714147436.6104193,118797,10.0
1714149834.6967087,146193,11.0
1714152700.6658528,175403,12.0
1714155648.1872885,213613,15.0
1714158054.0691593,243424,17.0
1714160896.755331,277209,19.0
1714164461.373527,318367,21.0
1714167634.8017883,356761,25.0
1714170665.2902982,389918,27.0
1714173134.3727405,417439,28.0
1714178188.804566,470256,36.0
1714180631.1814697,497812,37.0
1714183403.8661985,524871,38.0
1714187273.1149597,563484,42.0
1714189909.1978555,595198,45.0
1714192849.5076072,630551,48.0
1714194829.447697,653881,48.0
1714197115.3937469,681398,48.0
1714199404.2528703,708739,49.0
1714202086.0904145,740669,52.0
1714203964.0437307,763096,53.0
1714205839.9358902,785195,54.0
1714208114.6159956,812242,55.0
1714210493.4495852,840244,56.0
1714213272.495391,873126,59.0
1714215627.3925838,900931,60.0
1714217577.9236283,924051,60.0
1714220393.8732393,957368,63.0
1714222422.5236423,981264,63.0
