Wall time,Step,Value
1714016927.8993323,24105,4000.0
1714016956.218965,51320,3425.0
1714017142.1195946,76538,3825.0
1714017368.3647492,105710,5018.75
1714017537.6568344,127306,4415.0
1714017733.8706026,152676,4587.5
1714017908.3009953,176329,4500.0
1714018144.980005,207172,4531.25
1714018335.402324,230195,4344.4443359375
1714018535.0610309,255249,4145.0
1714018772.3775845,285652,4220.45458984375
1714019004.8541,316128,4320.83349609375
1714019188.522837,341190,4219.23095703125
1714019373.1570268,366726,4196.4287109375
1714019608.210182,400116,4636.66650390625
1714019820.8632863,429756,4632.8125
1714020008.4277523,456012,4583.82373046875
1714020208.250884,483932,4502.77783203125
1714020402.9696572,510963,4513.15771484375
1714020577.3709967,535183,4465.0
1714020746.7302725,558390,4435.71435546875
1714021013.6379044,590994,4745.45458984375
1714021226.708853,616367,4831.52197265625
1714021433.2108364,643880,4891.66650390625
1714021640.5606132,669801,4865.0
1714021883.2118144,699546,4879.0
1714022128.7810166,733262,5124.0
1714022321.2686594,759462,5086.0
1714022518.2571447,783327,4876.0
1714022715.827858,809112,4946.0
1714022894.2188795,833227,4885.0
1714023081.7073014,859106,4845.0
1714023310.9114642,889420,4956.0
1714023538.9841385,920496,5083.0
1714023732.5790045,947107,5187.0
1714024040.0062675,988985,5341.0
