Wall time,Step,Value
1714016927.8993323,24105,6.0
1714016956.218965,51320,15.0
1714017142.1195946,76538,22.0
1714017368.3647492,105710,30.0
1714017537.6568344,127306,37.0
1714017733.8706026,152676,47.0
1714017908.3009953,176329,53.0
1714018144.9790049,207172,61.0
1714018335.402324,230195,72.0
1714018535.0610309,255249,78.0
1714018772.3775845,285652,86.0
1714019004.8541,316128,94.0
1714019188.522837,341190,103.0
1714019373.1570268,366726,110.0
1714019608.210182,400116,121.0
1714019820.8632863,429756,127.0
1714020008.4277523,456012,135.0
1714020208.2498844,483932,144.0
1714020402.9696572,510963,152.0
1714020577.3709967,535183,159.0
1714020746.7302725,558390,165.0
1714021013.6369014,590994,176.0
1714021226.708853,616367,183.0
1714021433.2108364,643880,191.0
1714021640.5606132,669801,197.0
1714021883.2118144,699546,205.0
1714022128.7810166,733262,216.0
1714022321.2686594,759462,222.0
1714022518.2571447,783327,232.0
1714022715.827858,809112,238.0
1714022894.2188795,833227,248.0
1714023081.7073014,859106,254.0
1714023310.9114642,889420,262.0
1714023538.9841385,920496,273.0
1714023732.5790045,947107,279.0
1714024040.0062675,988985,287.0
