Wall time,Step,Value
1714016927.8993323,24105,0.0
1714016956.218965,51320,0.0
1714017142.1195946,76538,0.0
1714017368.3647492,105710,1.0
1714017537.6568344,127306,1.0
1714017733.8706026,152676,2.0
1714017908.3009953,176329,2.0
1714018144.9790049,207172,3.0
1714018335.402324,230195,3.0
1714018535.0610309,255249,3.0
1714018772.3775845,285652,4.0
1714019004.8541,316128,4.0
1714019188.522837,341190,4.0
1714019373.1570268,366726,4.0
1714019608.210182,400116,6.0
1714019820.8632863,429756,6.0
1714020008.4277523,456012,6.0
1714020208.2498844,483932,6.0
1714020402.9696572,510963,6.0
1714020577.3709967,535183,6.0
1714020746.7302725,558390,6.0
1714021013.6379044,590994,8.0
1714021226.708853,616367,9.0
1714021433.2108364,643880,10.0
1714021640.5606132,669801,10.0
1714021883.2118144,699546,10.0
1714022128.7810166,733262,12.0
1714022321.2686594,759462,12.0
1714022518.2571447,783327,12.0
1714022715.827858,809112,12.0
1714022894.2188795,833227,12.0
1714023081.7073014,859106,12.0
1714023310.9114642,889420,13.0
1714023538.9841385,920496,14.0
1714023732.5790045,947107,14.0
1714024040.0062675,988985,17.0
