Wall time,Step,Value
1714029257.9955008,51602,8.0
1714033450.231572,99813,15.0
1714036127.1025355,130137,26.0
1714039245.258618,165248,33.0
1714042759.0397623,204074,41.0
1714047116.7499137,252198,49.0
1714050505.0491781,288889,57.0
1714054676.2480881,334154,67.0
1714059786.1934102,385080,77.0
1714063121.4866192,432271,86.0
1714067395.580405,482429,94.0
1714071154.0853894,528694,102.0
1714075474.7970874,582245,113.0
1714080059.5283043,627647,121.0
1714083497.6531117,673187,131.0
1714087574.6183817,712461,140.0
1714093911.0664783,773303,150.0
1714097902.1885002,823969,158.0
1714101160.4247255,865329,167.0
1714104405.7355924,908454,175.0
1714108120.8586361,957089,185.0
