Wall time,Step,Value
1714029257.9965029,51602,6.0
1714033450.231572,99813,10.0
1714036127.1025355,130137,11.0
1714039245.258618,165248,12.0
1714042759.0397623,204074,18.0
1714047116.7509098,252198,23.0
1714050505.0491781,288889,26.0
1714054676.2480881,334154,30.0
1714059786.1944094,385080,36.0
1714063121.4876215,432271,41.0
1714067395.580405,482429,47.0
1714071154.086389,528694,52.0
1714075474.7980866,582245,59.0
1714080059.5283043,627647,64.0
1714083497.6531117,673187,70.0
1714087574.6183817,712461,74.0
1714093911.0674832,773303,82.0
1714097902.1885002,823969,87.0
1714101160.4247255,865329,92.0
1714104405.7355924,908454,97.0
1714108120.8586361,957089,101.0
