Wall time,Step,Value
1714001856.6569052,43478,10869.5
1714002226.2777953,102328,12791.0
1714002484.1650987,135609,11300.75
1714002666.32496,160539,10033.6875
1714002928.8493574,196531,9826.5498046875
1714003128.3810046,224240,9343.3330078125
1714003399.9557674,259720,9275.7138671875
1714003593.5542483,286209,8944.03125
1714003749.8117514,307742,8548.388671875
1714003974.6204886,337392,8434.7998046875
1714004220.5076892,369042,8387.318359375
1714004445.500023,399009,8312.6875
1714004638.066545,427074,8212.9619140625
1714004838.86805,455166,8127.96435546875
1714004999.641806,477715,7961.91650390625
1714005150.753662,498148,7783.5625
1714005363.520113,527224,7753.2939453125
1714005535.548011,549932,7637.9443359375
1714005752.6685567,578901,7617.11865234375
1714005976.1081414,610793,7634.91259765625
1714006151.2502854,634982,7559.3095703125
1714006427.0391035,668382,7595.25
1714006616.6076345,694178,7545.4130859375
1714006874.413074,729048,7594.25
1714007114.5899775,762371,7623.7099609375
1714007278.5692203,784601,7411.22998046875
1714007459.8099222,809562,7072.33984375
1714007736.8893406,847871,7122.6201171875
1714007939.6418345,875295,7147.56005859375
1714008187.0915372,909816,7132.85009765625
1714008368.4319074,935303,7110.6298828125
1714008554.4813375,961508,7017.8798828125
1714008710.293746,983566,6973.56982421875
