Wall time,Step,Value
1714001856.6569052,43478,39625.0
1714002226.2777953,102328,43962.5
1714002484.1650987,135609,37241.66796875
1714002666.32496,160539,29737.5
1714002928.8493574,196531,25985.0
1714003128.3810046,224240,22720.833984375
1714003399.9557674,259720,21557.142578125
1714003593.5542483,286209,19818.75
1714003749.8117514,307742,17827.77734375
1714003974.6204886,337392,16817.5
1714004220.5076892,369042,16211.36328125
1714004445.500023,399009,15406.25
1714004638.066545,427074,15059.615234375
1714004838.86805,455166,14646.4287109375
1714004999.641806,477715,13978.3330078125
1714005150.753662,498148,13217.1875
1714005363.520113,527224,12979.412109375
1714005535.548011,549932,12593.0556640625
1714005752.6685567,578901,12206.5791015625
1714005976.1081414,610793,12248.75
1714006151.2502854,634982,12044.0478515625
1714006427.0391035,668382,12143.181640625
1714006616.6076345,694178,11829.34765625
1714006874.413074,729048,11955.2080078125
1714007114.5899775,762371,11873.0
1714007278.5692203,784601,10347.0
1714007459.8099222,809562,8633.0
1714007736.8893406,847871,8498.0
1714007939.6418345,875295,8596.0
1714008187.0915372,909816,8549.0
1714008368.4319074,935303,8565.0
1714008554.4813375,961508,8174.0
1714008710.293746,983566,8166.0
