Wall time,Step,Value
1714001856.6569052,43478,7.0
1714002226.2777953,102328,18.0
1714002484.1650987,135609,27.0
1714002666.32496,160539,36.0
1714002928.8493574,196531,44.0
1714003128.3810046,224240,52.0
1714003399.9557674,259720,60.0
1714003593.5542483,286209,67.0
1714003749.8117514,307742,75.0
1714003974.6204886,337392,85.0
1714004220.5076892,369042,93.0
1714004445.500023,399009,99.0
1714004638.066545,427074,109.0
1714004838.86805,455166,117.0
1714004999.641806,477715,124.0
1714005150.753662,498148,132.0
1714005363.520113,527224,140.0
1714005535.548011,549932,148.0
1714005752.6685567,578901,158.0
1714005976.1081414,610793,167.0
1714006151.2502854,634982,173.0
1714006427.0391035,668382,182.0
1714006616.6076345,694178,191.0
1714006874.413074,729048,199.0
1714007114.5899775,762371,210.0
1714007278.5692203,784601,217.0
1714007459.8099222,809562,223.0
1714007736.8893406,847871,234.0
1714007939.6418345,875295,243.0
1714008187.0915372,909816,252.0
1714008368.4319074,935303,260.0
1714008554.4813375,961508,269.0
1714008710.293746,983566,277.0
