Wall time,Step,Value
1714001856.6569052,43478,9.0
1714002226.2777953,102328,20.0
1714002484.1650987,135609,23.0
1714002666.32496,160539,25.0
1714002928.8493574,196531,29.0
1714003128.3810046,224240,31.0
1714003399.9557674,259720,34.0
1714003593.5542483,286209,38.0
1714003749.8117514,307742,38.0
1714003974.6204886,337392,40.0
1714004220.5076892,369042,43.0
1714004445.500023,399009,46.0
1714004638.066545,427074,48.0
1714004838.86805,455166,51.0
1714004999.641806,477715,52.0
1714005150.753662,498148,52.0
1714005363.520113,527224,54.0
1714005535.548011,549932,55.0
1714005752.6685567,578901,56.0
1714005976.1081414,610793,61.0
1714006151.2502854,634982,63.0
1714006427.0391035,668382,66.0
1714006616.6076345,694178,68.0
1714006874.413074,729048,71.0
1714007114.5899775,762371,75.0
1714007278.5692203,784601,75.0
1714007459.8099222,809562,76.0
1714007736.8893406,847871,80.0
1714007939.6418345,875295,83.0
1714008187.0915372,909816,84.0
1714008368.4319074,935303,88.0
1714008554.4813375,961508,89.0
1714008710.293746,983566,90.0
