Wall time,Step,Value
1713925978.0509613,56038,14009.5
1713926701.2808416,109217,13652.125
1713926941.1844122,143962,11996.8330078125
1713927127.4468508,171180,10698.75
1713927363.8922586,205169,10258.4501953125
1713927545.2318027,230445,9601.875
1713927750.004765,259316,9261.2861328125
1713928037.4449155,296738,9273.0625
1713928597.1886773,348354,9676.5
1713929075.6367977,378517,9462.9248046875
1713929593.5707393,422202,9595.5
1713929919.9316282,451052,9396.9169921875
1713930466.1950562,491580,9453.4619140625
1713930674.4200497,519056,9268.857421875
1713930912.755033,550605,9176.75
1713931671.993634,624723,9761.296875
1713932164.9732106,656753,9658.1328125
1713932509.5875084,703918,9776.638671875
1713932762.8576164,738898,9722.341796875
1713933238.9628053,770815,9635.1875
1713933670.579094,798747,9508.892578125
1713933997.7446349,827423,9402.5341796875
1713934279.4732144,867740,9431.9560546875
1713934540.5193007,905263,9429.8232421875
1713934841.3930435,948455,9484.5498046875
1713935103.2618618,985356,9293.1796875
