Wall time,Step,Value
1713925978.0509613,56038,80900.0
1713926701.2808416,109217,78475.0
1713926941.1844122,143962,57275.0
1713927127.4468508,171180,44731.25
1713927363.8922586,205169,37695.0
1713927545.2318027,230445,32804.16796875
1713927750.004765,259316,29839.28515625
1713928037.4449155,296738,29968.75
1713928597.1886773,348354,30838.888671875
1713929075.6367977,378517,28440.0
1713929593.5707393,422202,28170.455078125
1713929919.9316282,451052,26625.0
1713930466.1950562,491580,26496.154296875
1713930674.4200497,519056,25169.642578125
1713930912.755033,550605,23895.0
1713931671.993634,624723,25420.3125
1713932164.9732106,656753,24444.1171875
1713932509.5875084,703918,24105.5546875
1713932762.8576164,738898,23309.2109375
1713933238.9628053,770815,22832.5
1713933670.579094,798747,22410.71484375
1713933997.7446349,827423,21754.544921875
1713934279.4732144,867740,21825.0
1713934540.5193007,905263,21345.833984375
1713934841.3930435,948455,21345.0
1713935103.2618618,985356,18814.0
