Wall time,Step,Value
1713925978.0509613,56038,8.0
1713926701.2808416,109217,17.0
1713926941.1844122,143962,28.0
1713927127.4468508,171180,36.0
1713927363.8922586,205169,44.0
1713927545.2318027,230445,53.0
1713927750.004765,259316,58.0
1713928037.4449155,296738,68.0
1713928597.1886773,348354,75.0
1713929075.6367977,378517,83.0
1713929593.5707393,422202,94.0
1713929919.9316282,451052,102.0
1713930466.1950562,491580,110.0
1713930674.41905,519056,116.0
1713930912.755033,550605,126.0
1713931671.993634,624723,137.0
1713932164.9732106,656753,145.0
1713932509.5875084,703918,155.0
1713932762.8576164,738898,161.0
1713933238.9628053,770815,172.0
1713933670.5780942,798747,177.0
1713933997.743177,827423,186.0
1713934279.4732144,867740,195.0
1713934540.5193007,905263,205.0
1713934841.3930435,948455,214.0
1713935103.2618618,985356,223.0
