Wall time,Step,Value
1713925978.0509613,56038,13.0
1713926701.2808416,109217,24.0
1713926941.1844122,143962,27.0
1713927127.4468508,171180,28.0
1713927363.8922586,205169,29.0
1713927545.2318027,230445,31.0
1713927750.004765,259316,33.0
1713928037.4449155,296738,38.0
1713928597.1886773,348354,48.0
1713929075.6367977,378517,50.0
1713929593.5707393,422202,56.0
1713929919.9316282,451052,58.0
1713930466.1950562,491580,63.0
1713930674.4200497,519056,64.0
1713930912.755033,550605,65.0
1713931671.993634,624723,75.0
1713932164.9732106,656753,76.0
1713932509.5875084,703918,82.0
1713932762.8576164,738898,84.0
1713933238.9628053,770815,86.0
1713933670.579094,798747,88.0
1713933997.7446349,827423,89.0
1713934279.4732144,867740,94.0
1713934540.5193007,905263,97.0
1713934841.3930435,948455,101.0
1713935103.2618618,985356,105.0
