Wall time,Step,Value
1713842055.2002666,49363,12340.75
1713843959.0008821,77654,9706.75
1713847471.080346,126984,10582.0
1713850292.2125733,164338,10271.125
1713853764.0891688,209669,10483.4501953125
1713856846.8976405,252844,10535.1669921875
1713859972.6965778,296928,10604.5712890625
1713863449.9479065,345967,10811.46875
1713866213.7909467,384379,10677.1943359375
1713869273.757995,427094,10677.349609375
1713871096.2257404,452548,10285.181640625
1713874014.66187,492851,10267.7294921875
1713878044.5834408,548060,10539.615234375
1713881326.9852452,584549,10438.375
1713884309.678711,624542,10409.033203125
1713887936.089512,671165,10486.953125
1713890663.4650643,710135,10443.162109375
1713893552.9172246,747699,10384.7080078125
1713896983.6732953,790793,10405.1708984375
1713900821.5481758,838318,10478.974609375
1713903735.2563465,875830,10426.5478515625
1713908147.9548466,920097,10455.6474609375
1713910860.6726105,952267,10350.728515625
1713913377.2679546,980893,10217.6357421875
