Wall time,Step,Value
1713842055.2002666,49363,7975.0
1713843959.0008821,77654,7525.0
1713847471.080346,126984,10233.3330078125
1713850292.2125733,164338,14106.25
1713853764.0891688,209669,14680.0
1713856846.8976405,252844,16450.0
1713859972.6965778,296928,16903.572265625
1713863449.9479065,345967,16690.625
1713866213.7909467,384379,16472.22265625
1713869273.757995,427094,15877.5
1713871096.2257404,452548,14906.818359375
1713874014.66187,492851,14497.9169921875
1713878044.5834408,548060,14607.6923828125
1713881326.9852452,584549,14864.2861328125
1713884309.678711,624542,14940.0
1713887936.089512,671165,14995.3125
1713890663.4650643,710135,14925.0
1713893552.9172246,747699,14731.9443359375
1713896983.6732953,790793,14628.947265625
1713900821.5481758,838318,14736.25
1713903735.2563465,875830,14650.0
1713908147.9548466,920097,14632.9541015625
1713910860.6726105,952267,14502.173828125
1713913377.2679546,980893,14177.0830078125
