Wall time,Step,Value
1713842055.2002666,49363,7.0
1713843959.0008821,77654,15.0
1713847471.080346,126984,25.0
1713850292.211565,164338,35.0
1713853764.0881655,209669,44.0
1713856846.8976405,252844,53.0
1713859972.6965778,296928,63.0
1713863449.9479065,345967,73.0
1713866213.7899463,384379,81.0
1713869273.757995,427094,90.0
1713871096.2257404,452548,99.0
1713874014.6608698,492851,107.0
1713878044.5834408,548060,116.0
1713881326.9852452,584549,125.0
1713884309.678711,624542,134.0
1713887936.089512,671165,145.0
1713890663.4650643,710135,154.0
1713893552.916227,747699,161.0
1713896983.672296,790793,171.0
1713900821.5481758,838318,180.0
1713903735.2563465,875830,188.0
1713908147.9548466,920097,199.0
1713910860.6726105,952267,207.0
1713913377.2679546,980893,215.0
