Wall time,Step,Value
1713842055.2002666,49363,3.0
1713843959.0008821,77654,4.0
1713847471.080346,126984,11.0
1713850292.2125733,164338,16.0
1713853764.0891688,209669,20.0
1713856846.8976405,252844,28.0
1713859972.6965778,296928,32.0
1713863449.9479065,345967,38.0
1713866213.7899463,384379,43.0
1713869273.757995,427094,46.0
1713871096.2257404,452548,48.0
1713874014.66187,492851,51.0
1713878044.5834408,548060,58.0
1713881326.9852452,584549,62.0
1713884309.678711,624542,68.0
1713887936.089512,671165,73.0
1713890663.4650643,710135,77.0
1713893552.9172246,747699,79.0
1713896983.6732953,790793,84.0
1713900821.5481758,838318,88.0
1713903735.2563465,875830,92.0
1713908147.9548466,920097,97.0
1713910860.6726105,952267,99.0
1713913377.2679546,980893,100.0
