Wall time,Step,Value
1713759797.794261,20857,5214.25
1713759822.14106,48431,6053.875
1713760989.7313917,66729,5560.75
1713761994.6327877,81419,5088.6875
1713763316.040503,100678,5033.89990234375
1713764530.3795738,117576,4899.0
1713766109.730482,137425,4908.03564453125
1713767845.156199,157971,4936.59375
1713768960.1916869,173805,4827.91650390625
1713770496.7603118,195822,4895.5498046875
1713771646.946782,212279,4824.52294921875
1713773052.6473966,232189,4837.27099609375
1713774315.524969,250157,4810.71142578125
1713775804.8348837,271319,4844.98193359375
1713777271.664407,292007,4866.783203125
1713778558.3859594,310287,4848.234375
1713779829.6578522,328193,4826.36767578125
1713781183.2913346,347326,4823.97216796875
1713782658.1041193,367894,4840.71044921875
1713783871.7909708,384949,4811.8623046875
1713785046.773846,401365,4778.15478515625
1713786177.1751587,417160,4740.45458984375
1713787591.345001,436950,4749.45654296875
1713788801.5751865,453693,4725.96875
1713790149.322884,472660,4726.60009765625
1713791610.0559642,493031,4721.740234375
1713793361.612177,517458,4690.27001953125
1713794700.029069,536144,4694.14990234375
1713796115.20518,555756,4743.3701171875
1713797376.205235,573524,4728.4599609375
1713799585.9510744,593725,4761.490234375
1713801042.3582063,614557,4771.31982421875
1713802317.644942,631946,4739.75
1713803802.1437528,652491,4786.85986328125
1713805440.475631,675010,4791.8798828125
1713806741.0895982,692768,4804.89013671875
1713808143.727288,711622,4794.330078125
1713809863.1286032,734804,4846.47021484375
1713811008.117707,750077,4787.580078125
1713812477.3471467,769868,4778.60986328125
1713813896.0425856,789412,4791.25
1713815084.723968,804541,4763.47998046875
1713816391.104893,822748,4754.22021484375
1713817840.7059817,841256,4733.6201171875
1713819083.4811642,857642,4726.93017578125
1713820475.5413508,874997,4736.31982421875
1713821696.4536653,891684,4745.240234375
1713823796.4883566,908100,4711.5
1713825473.5497167,924685,4709.919921875
1713826866.5012136,943051,4703.91015625
1713828329.1252353,962012,4689.81005859375
1713830571.4963663,981186,4637.27978515625
1713831798.1254637,997245,4611.009765625
