Wall time,Step,Value
1713759797.794261,20857,12150.0
1713759822.14106,48431,11787.5
1713760989.7313917,66729,8591.6669921875
1713761994.6327877,81419,6893.75
1713763316.040503,100678,6970.0
1713764530.3795738,117576,6108.33349609375
1713766109.730482,137425,5975.0
1713767845.156199,157971,6765.625
1713768960.1916869,173805,6150.0
1713770496.7603118,195822,6297.5
1713771646.946782,212279,5872.72705078125
1713773052.6473966,232189,6106.25
1713774315.524969,250157,5788.46142578125
1713775804.8348837,271319,5780.35693359375
1713777271.664407,292007,5841.66650390625
1713778558.3859594,310287,5556.25
1713779829.6578522,328193,5314.7060546875
1713781183.2913346,347326,5134.72216796875
1713782658.1041193,367894,5015.78955078125
1713783871.7909708,384949,4885.0
1713785046.773846,401365,4745.23828125
1713786177.1751587,417160,4605.681640625
1713787591.345001,436950,4815.21728515625
1713788801.5751865,453693,4684.375
1713790149.322884,472660,4577.0
1713791610.0559642,493031,4266.0
1713793361.612177,517458,4160.0
1713794700.0300727,536144,4372.0
1713796115.20518,555756,4619.0
1713797376.205235,573524,4378.0
1713799585.9510744,593725,4546.0
1713801042.3582063,614557,4566.0
1713802317.644942,631946,4169.0
1713803802.1437528,652491,4364.0
1713805440.475631,675010,4778.0
1713806741.0895982,692768,4785.0
1713808143.727288,711622,4713.0
1713809863.1286032,734804,5002.0
1713811008.117707,750077,4821.0
1713812477.3471467,769868,5079.0
1713813896.0425856,789412,5130.0
1713815084.723968,804541,5128.0
1713816391.104893,822748,5264.0
1713817840.7059817,841256,5200.0
1713819083.4811642,857642,5132.0
1713820475.5413508,874997,5103.0
1713821696.4536653,891684,5059.0
1713823796.4883566,908100,4708.0
1713825473.5497167,924685,4705.0
1713826866.5012136,943051,4672.0
1713828329.1252353,962012,4526.0
1713830571.4963663,981186,4219.0
1713831798.1254637,997245,3937.0
