Wall time,Step,Value
1713759797.794261,20857,7.0
1713759822.14106,48431,14.0
1713760989.7313917,66729,22.0
1713761994.6327877,81419,32.0
1713763316.040503,100678,40.0
1713764530.3795738,117576,45.0
1713766109.730482,137425,53.0
1713767845.156199,157971,62.0
1713768960.1906993,173805,71.0
1713770496.7603118,195822,78.0
1713771646.946782,212279,88.0
1713773052.6463969,232189,96.0
1713774315.524969,250157,105.0
1713775804.8348837,271319,112.0
1713777271.663407,292007,120.0
1713778558.3849628,310287,129.0
1713779829.6578522,328193,133.0
1713781183.2913346,347326,142.0
1713782658.1041193,367894,150.0
1713783871.7909708,384949,158.0
1713785046.773846,401365,168.0
1713786177.1741576,417160,173.0
1713787591.345001,436950,181.0
1713788801.5751865,453693,191.0
1713790149.322884,472660,199.0
1713791610.0559642,493031,207.0
1713793361.612177,517458,214.0
1713794700.029069,536144,222.0
1713796115.2041786,555756,231.0
1713797376.205235,573524,239.0
1713799585.9510744,593725,247.0
1713801042.3582063,614557,255.0
1713802317.644942,631946,264.0
1713803802.1437528,652491,271.0
1713805440.475631,675010,278.0
1713806741.0895982,692768,287.0
1713808143.727288,711622,296.0
1713809863.1275997,734804,303.0
1713811008.1167076,750077,313.0
1713812477.3471467,769868,317.0
1713813896.0425856,789412,325.0
1713815084.722966,804541,335.0
1713816391.104893,822748,343.0
1713817840.7059817,841256,352.0
1713819083.4811642,857642,357.0
1713820475.5413508,874997,366.0
1713821696.4536653,891684,376.0
1713823796.4883566,908100,381.0
1713825473.5497167,924685,390.0
1713826866.500214,943051,400.0
1713828329.1252353,962012,408.0
1713830571.4963663,981186,416.0
1713831798.1254637,997245,421.0
