Wall time,Step,Value
1713759797.794261,20857,2.0
1713759822.14106,48431,4.0
1713760989.7313917,66729,5.0
1713761994.6327877,81419,5.0
1713763316.040503,100678,6.0
1713764530.3795738,117576,6.0
1713766109.730482,137425,7.0
1713767845.156199,157971,8.0
1713768960.1916869,173805,9.0
1713770496.7603118,195822,10.0
1713771646.946782,212279,10.0
1713773052.6463969,232189,11.0
1713774315.524969,250157,11.0
1713775804.8348837,271319,12.0
1713777271.664407,292007,13.0
1713778558.3859594,310287,13.0
1713779829.6578522,328193,13.0
1713781183.2913346,347326,13.0
1713782658.1041193,367894,13.0
1713783871.7909708,384949,13.0
1713785046.773846,401365,13.0
1713786177.1751587,417160,13.0
1713787591.345001,436950,14.0
1713788801.5751865,453693,14.0
1713790149.322884,472660,14.0
1713791610.0559642,493031,15.0
1713793361.612177,517458,17.0
1713794700.029069,536144,18.0
1713796115.2041786,555756,18.0
1713797376.205235,573524,19.0
1713799585.9510744,593725,20.0
1713801042.3582063,614557,21.0
1713802317.644942,631946,21.0
1713803802.1437528,652491,22.0
1713805440.475631,675010,25.0
1713806741.0895982,692768,25.0
1713808143.727288,711622,26.0
1713809863.1275997,734804,27.0
1713811008.1167076,750077,28.0
1713812477.3471467,769868,28.0
1713813896.0425856,789412,29.0
1713815084.722966,804541,29.0
1713816391.104893,822748,30.0
1713817840.7059817,841256,30.0
1713819083.4811642,857642,30.0
1713820475.5413508,874997,30.0
1713821696.4536653,891684,30.0
1713823796.4883566,908100,30.0
1713825473.5497167,924685,30.0
1713826866.5012136,943051,30.0
1713828329.1252353,962012,30.0
1713830571.4963663,981186,30.0
1713831798.1254637,997245,30.0
