Wall time,Step,Value,Step2,Value2,Step3,Value3,StepTot,ValTot
1714279503,43138,9,51395,9,37620,7,,
1714279613,76362,18,75703,16,67560,15,,
1714279694,98816,24,100028,26,97373,23,,
1714279785,124079,34,121546,33,122551,33,,
1714279896,154933,42,148861,38,146831,39,,
1714280005,185415,50,177073,47,172103,49,,
1714280094,209993,57,202657,57,194464,56,,
1714280192,237377,64,231096,65,225204,64,,
1714280296,266772,74,259033,72,248497,71,,
1714280378,290183,84,282494,81,273366,80,,
1714280457,312506,91,310634,89,296495,87,,
1714280535,334906,98,335074,96,324506,96,,
1714280609,356081,105,359312,103,348155,103,,
1714280697,381144,115,384095,112,371874,113,,
1714280772,402515,123,407732,119,399046,120,,
1714280858,427043,129,433820,128,423055,129,,
1714280933,448460,137,459911,134,448108,135,,
1714281003,468593,144,485553,144,471185,145,,
1714281089,493110,154,512951,153,492109,153,,
1714281183,519895,160,540183,162,514159,160,,
1714281270,544931,170,566781,168,544339,168,,
1714281358,570054,180,601296,178,568328,175,,
1714281450,596346,186,626540,185,601801,186,,
1714281554,625972,194,654864,193,623956,193,,
1714281657,655193,202,683985,201,647895,200,,
1714281753,683100,211,707896,208,670586,210,,
1714281839,707863,217,730334,219,697767,216,,
1714281953,740368,228,753722,226,723127,225,,
1714282031,762770,234,775808,232,749941,232,,
1714282128,791177,243,803756,243,776053,241,,
1714282210,815186,250,825191,250,799215,247,,
1714282310,843736,259,851373,259,827184,257,,
1714282395,867917,265,872991,267,851130,267,,
1714282476,891057,275,899704,273,873641,275,,
1714282602,927483,282,927549,281,899130,281,,
1714282691,953335,291,953363,291,927132,290,,
1714282776,977634,297,976516,298,948347,297,,
1714282857,1000787,307,1000173,308,971379,307,,
1714282957,1029406,313,1023859,314,992729,315,,
1714283038,1052460,323,1048009,321,,,,
1714283122,1076438,329,1073075,331,,,,
1714283198,1098391,336,1097977,337,,,,
1714283287,1123789,346,1125667,346,,,,
1714283368,1146898,353,1148801,352,,,,
1714283456,1171589,363,1176155,362,,,,
1714283539,1194815,370,1203679,371,,,,
1714283634,1221871,379,1225924,377,,,,
1714283737,1250246,388,1250064,388,,,,
1714283815,1271945,395,1284883,395,,,,
1714283905,1296848,402,1309522,402,,,,
1714284019,1328992,409,1338372,410,,,,
1714284114,1355306,418,1362599,420,,,,
1714284196,1378294,424,1384336,427,,,,
1714284275,1400110,436,1408451,434,,,,
1714284368,1425961,441,1429363,441,,,,
1714284449,1448569,449,1451519,452,,,,
1714284520,1468676,456,1476359,458,,,,
1714284620,1496557,467,1504127,467,,,,
1714284693,1516956,473,1528936,474,,,,
1714284795,1545315,482,1555311,483,,,,
1714284884,1570691,491,1577992,489,,,,
1714284972,1595999,498,1600409,501,,,,
1714285060,1620933,507,1624939,507,,,,
1714285155,1648103,513,1649041,514,,,,
1714285232,1670060,524,1676653,523,,,,
1714285336,1699916,529,1696390,530,,,,
1714285410,1720981,539,1725673,540,,,,
1714285504,1747843,545,1748626,547,,,,
1714285586,1771267,555,1771562,557,,,,
1714285665,1793226,563,1795844,563,,,,
1714285753,1817506,570,1826730,571,,,,
1714285848,1844448,578,1852118,581,,,,
1714285935,1868993,585,1881775,589,,,,
1714286013,1890868,595,1904904,596,,,,
1714286126,1922821,603,1925361,604,,,,
1714286218,1947846,609,1951184,613,,,,
1714286321,1976366,618,1980573,621,,,,
1714286425,2004809,626,2003168,628,,,,
1714286557,2040897,636,,,,,,
,2092292,645,,,,,,
,2116600,652,,,,,,
,2140925,662,,,,,,
,2162443,669,,,,,,
,2189758,674,,,,,,
,2217970,683,,,,,,
,2243554,693,,,,,,
,2271993,701,,,,,,
,2299930,708,,,,,,
,2323391,717,,,,,,
,2351531,725,,,,,,
,2375971,732,,,,,,
,2400209,739,,,,,,
,2424992,748,,,,,,
,2448629,755,,,,,,
,2474717,764,,,,,,
,2500808,770,,,,,,
,2526450,780,,,,,,
,2553848,789,,,,,,
,2581080,798,,,,,,
,2607678,804,,,,,,
,2642193,814,,,,,,
,2667437,821,,,,,,
,2695761,829,,,,,,
,2724882,837,,,,,,
,2748793,844,,,,,,
,2771231,855,,,,,,
,2794619,862,,,,,,
,2816705,868,,,,,,
,2844653,879,,,,,,
,2866088,886,,,,,,
,2892270,895,,,,,,
,2913888,903,,,,,,
,2940601,909,,,,,,
,2968446,917,,,,,,
,2994260,927,,,,,,
,3017413,934,,,,,,
,3041070,944,,,,,,
,3064756,950,,,,,,
,3088906,957,,,,,,
,3113972,967,,,,,,
,3138874,973,,,,,,
,3166564,982,,,,,,
,3189698,988,,,,,,
,3217052,998,,,,,,
,3244576,1007,,,,,,
,3266821,1013,,,,,,
,3290961,1024,,,,,,
,3325780,1031,,,,,,
,3350419,1038,,,,,,
,3379269,1046,,,,,,
,3403496,1056,,,,,,
,3425233,1063,,,,,,
,3449348,1070,,,,,,
,3470260,1077,,,,,,
,3492416,1088,,,,,,
,3517256,1094,,,,,,
,3545024,1103,,,,,,
,3569833,1110,,,,,,
