Wall time,Step,Value,,,,
1714279503,43138,9,51395,12,37620,7
1714279613,76362,12,75703,13,67560,12
1714279694,98816,12,100028,13,97373,14
1714279785,124079,12,121546,13,122551,14
1714279896,154933,14,148861,14,146831,14
1714280005,185415,15,177073,15,172103,16
1714280094,209993,15,202657,16,194464,16
1714280192,237377,17,231096,18,225204,19
1714280296,266772,17,259033,18,248497,19
1714280378,290183,17,282494,19,273366,20
1714280457,312506,17,310634,20,296495,20
1714280535,334906,17,335074,21,324506,22
1714280609,356081,17,359312,21,348155,22
1714280697,381144,18,384095,21,371874,22
1714280772,402515,18,407732,21,399046,22
1714280858,427043,18,433820,22,423055,23
1714280933,448460,18,459911,22,448108,24
1714281003,468593,18,485553,22,471185,24
1714281089,493110,18,512951,23,492109,24
1714281183,519895,19,540183,24,514159,24
1714281270,544931,19,566781,25,544339,26
1714281358,570054,19,601296,28,568328,26
1714281450,596346,19,626540,28,601801,28
1714281554,625972,21,654864,29,623956,28
1714281657,655193,22,683985,31,647895,28
1714281753,683100,23,707896,31,670586,28
1714281839,707863,23,730334,31,697767,30
1714281953,740368,25,753722,31,723127,30
1714282031,762770,25,775808,31,749941,31
1714282128,791177,26,803756,33,776053,32
1714282210,815186,26,825191,33,799215,32
1714282310,843736,27,851373,34,827184,34
1714282395,867917,27,872991,34,851130,34
1714282476,891057,27,899704,35,873641,34
1714282602,927483,28,927549,36,899130,35
1714282691,953335,29,953363,36,927132,35
1714282776,977634,29,976516,36,948347,35
1714282857,1000787,29,1000173,36,971379,35
1714282957,1029406,30,1023859,37,992729,35
1714283038,1052460,30,1048009,37,,
1714283122,1076438,30,1073075,37,,
1714283198,1098391,30,1097977,38,,
1714283287,1123789,31,1125667,39,,
1714283368,1146898,31,1148801,40,,
1714283456,1171589,31,1176155,41,,
1714283539,1194815,31,1203679,42,,
1714283634,1221871,32,1225924,42,,
1714283737,1250246,33,1250064,42,,
1714283815,1271945,33,1284883,45,,
1714283905,1296848,33,1309522,45,,
1714284019,1328992,35,1338372,46,,
1714284114,1355306,36,1362599,46,,
1714284196,1378294,36,1384336,46,,
1714284275,1400110,36,1408451,46,,
1714284368,1425961,36,1429363,46,,
