Wall time,Step,Value
1713858320.2628512,17921,4480.25
1713858333.3847766,38270,4783.75
1713858401.8229463,60415,5034.58349609375
1713858548.3916616,84316,5269.75
1713858696.8791904,107329,5366.4501953125
1713858897.353034,138098,5754.08349609375
1713859142.173021,175776,6277.71435546875
1713859283.364266,197744,6179.5
1713859415.2955153,218601,6072.25
1713859609.2282808,249285,6232.125
1713859741.9398615,270260,6142.27294921875
1713859998.0030632,310808,6475.16650390625
1713860130.2588027,331738,6379.5771484375
1713860281.7759004,355674,6351.3212890625
1713860455.090262,383089,6384.81689453125
1713860605.2543585,406885,6357.578125
1713860784.6607482,435150,6399.2646484375
1713860911.1094387,455161,6321.6806640625
1713861045.0284934,476336,6267.5791015625
1713861191.6087306,499500,6243.75
1713861334.173499,522019,6214.51171875
1713861589.116714,562259,6389.306640625
1713861717.6438668,582553,6332.09765625
1713861986.168836,625007,6510.48974609375
1713862109.5285933,644521,6445.2099609375
1713862264.921377,669098,6511.77001953125
1713862401.4053743,690657,6523.8701171875
1713862530.1322749,710999,6505.83984375
1713862696.0645592,737225,6529.08984375
1713862893.8507159,768485,6611.56005859375
1713863004.372302,785943,6478.4501953125
1713863128.7563572,805596,6298.2001953125
1713863296.784532,832170,6344.259765625
1713863441.7388585,855106,6365.0498046875
1713863588.028712,878214,6289.2900390625
1713863702.2995572,896269,6260.08984375
1713863849.1223822,919447,6086.39013671875
1713864180.003047,971732,6399.93994140625
1713864317.393269,993416,6377.419921875
