Wall time,Step,Value
1713858320.2628512,17921,4275.0
1713858333.3847766,38270,7787.5
1713858401.8229463,60415,8100.0
1713858548.3916616,84316,10050.0
1713858696.8791904,107329,10465.0
1713858897.353034,138098,11250.0
1713859142.173021,175776,11792.857421875
1713859283.364266,197744,11125.0
1713859415.2955153,218601,10650.0
1713859609.2282808,249285,11902.5
1713859741.9398615,270260,11627.2724609375
1713859998.0030632,310808,12520.8330078125
1713860130.2588027,331738,11986.5380859375
1713860281.7759004,355674,12232.142578125
1713860455.090262,383089,12645.0
1713860605.2543585,406885,12289.0625
1713860784.6607482,435150,12075.0
1713860911.1094387,455161,11715.27734375
1713861045.0284934,476336,11377.6318359375
1713861191.6087306,499500,11500.0
1713861334.173499,522019,11403.5712890625
1713861589.116714,562259,11806.818359375
1713861717.6438668,582553,11658.6953125
1713861986.168836,625007,12347.9169921875
1713862109.5285933,644521,12083.0
1713862264.921377,669098,12278.0
1713862401.4053743,690657,12186.0
1713862530.1322749,710999,12143.0
1713862696.0645592,737225,12075.0
1713862893.8507159,768485,12611.0
1713863004.372302,785943,12163.0
1713863128.7563572,805596,11843.0
1713863296.784532,832170,12227.0
1713863441.7388585,855106,12557.0
1713863588.028712,878214,11949.0
1713863702.2995572,896269,11831.0
1713863849.1223822,919447,11579.0
1713864180.003047,971732,12451.0
1713864317.393269,993416,12106.0
