Wall time,Step,Value
1713858320.2628512,17921,4.0
1713858333.3847766,38270,12.0
1713858401.8219445,60415,24.0
1713858548.3916616,84316,30.0
1713858696.8791904,107329,38.0
1713858897.353034,138098,47.0
1713859142.173021,175776,57.0
1713859283.364266,197744,64.0
1713859415.2955153,218601,71.0
1713859609.2282808,249285,80.0
1713859741.9398615,270260,92.0
1713859998.0030632,310808,101.0
1713860130.2588027,331738,109.0
1713860281.7759004,355674,116.0
1713860455.090262,383089,126.0
1713860605.2543585,406885,133.0
1713860784.6607482,435150,141.0
1713860911.1094387,455161,149.0
1713861045.0284934,476336,157.0
1713861191.6087306,499500,165.0
1713861334.173499,522019,176.0
1713861589.116714,562259,184.0
1713861717.6438668,582553,192.0
1713861986.168836,625007,201.0
1713862109.5285933,644521,209.0
1713862264.921377,669098,215.0
1713862401.4053743,690657,226.0
1713862530.1322749,710999,234.0
1713862696.0645592,737225,242.0
1713862893.849716,768485,250.0
1713863004.372302,785943,257.0
1713863128.7553573,805596,265.0
1713863296.784532,832170,275.0
1713863441.7388585,855106,282.0
1713863588.028712,878214,289.0
1713863702.2995572,896269,297.0
1713863849.1223822,919447,304.0
1713864180.003047,971732,317.0
1713864317.393269,993416,325.0
