Wall time,Step,Value
1713858320.2628512,17921,1.0
1713858333.3847766,38270,2.0
1713858401.8229463,60415,5.0
1713858548.3916616,84316,7.0
1713858696.8791904,107329,9.0
1713858897.353034,138098,13.0
1713859142.173021,175776,18.0
1713859283.364266,197744,18.0
1713859415.2955153,218601,20.0
1713859609.2282808,249285,24.0
1713859741.9398615,270260,26.0
1713859998.0030632,310808,32.0
1713860130.2588027,331738,33.0
1713860281.7759004,355674,36.0
1713860455.090262,383089,39.0
1713860605.2543585,406885,40.0
1713860784.6607482,435150,43.0
1713860911.1094387,455161,44.0
1713861045.0284934,476336,44.0
1713861191.6087306,499500,47.0
1713861334.173499,522019,49.0
1713861589.116714,562259,55.0
1713861717.6438668,582553,55.0
1713861986.168836,625007,62.0
1713862109.5285933,644521,63.0
1713862264.921377,669098,65.0
1713862401.4053743,690657,68.0
1713862530.1322749,710999,69.0
1713862696.0645592,737225,70.0
1713862893.8507159,768485,75.0
1713863004.372302,785943,77.0
1713863128.7553573,805596,78.0
1713863296.784532,832170,81.0
1713863441.7388585,855106,83.0
1713863588.028712,878214,85.0
1713863702.2995572,896269,87.0
1713863849.1223822,919447,90.0
1713864180.003047,971732,99.0
1713864317.393269,993416,99.0
