Wall time,Step,Value
1713396370.2147362,37036,9259.0
1713398790.9855943,74103,9262.875
1713402325.8097746,128803,10733.5830078125
1713405266.3958383,176823,11051.4375
1713407943.3813083,218437,10921.849609375
1713411615.6004293,258683,10778.4580078125
1713415444.8394399,322220,11507.857421875
1713417420.3592844,350514,10953.5625
1713420063.4787474,389576,10821.5556640625
1713422198.4948456,422730,10568.25
1713423903.9201727,450958,10249.0458984375
1713426284.77593,490071,10209.8125
1713428253.8824441,522631,10050.595703125
1713430542.5984821,559577,9992.4462890625
1713432248.4647074,585903,9765.0498046875
1713435597.8247352,640883,10013.796875
1713438994.6890175,696415,10241.3974609375
1713443136.3498135,744389,10338.736328125
1713448159.1207387,788661,10377.1181640625
1713451926.0740623,841564,10519.5498046875
1713454198.4062395,874568,10411.5234375
1713457698.6010342,917369,10424.6474609375
1713460972.8834689,968900,10531.521484375
