Wall time,Step,Value
1713396370.2147362,37036,40850.0
1713398790.9855943,74103,39550.0
1713402325.8097746,128803,45408.33203125
1713405266.3958383,176823,44737.5
1713407943.3813083,218437,40215.0
1713411615.6004293,258683,37962.5
1713415444.8394399,322220,39257.14453125
1713417420.3592844,350514,36115.625
1713420063.4787474,389576,35630.5546875
1713422198.4948456,422730,33920.0
1713423903.9211733,450958,32618.181640625
1713426284.77593,490071,33797.91796875
1713428253.8824441,522631,33276.921875
1713430542.5984821,559577,32821.4296875
1713432248.4647074,585903,31786.666015625
1713435597.8247352,640883,32368.75
1713438994.6890175,696415,33877.94140625
1713443136.3498135,744389,33943.0546875
1713448159.1207387,788661,34164.47265625
1713451926.0740623,841564,34397.5
1713454198.4062395,874568,33740.4765625
1713457698.6010342,917369,33977.2734375
1713460972.8834689,968900,34032.609375
