Wall time,Step,Value
1713396370.2147362,37036,17.0
1713398790.9855943,74103,26.0
1713402325.8087726,128803,35.0
1713405266.3958383,176823,47.0
1713407943.3813083,218437,55.0
1713411615.6004293,258683,65.0
1713415444.8394399,322220,77.0
1713417420.3592844,350514,84.0
1713420063.477753,389576,92.0
1713422198.4948456,422730,104.0
1713423903.9201727,450958,109.0
1713426284.77593,490071,120.0
1713428253.8824441,522631,130.0
1713430542.5984821,559577,137.0
1713432248.4647074,585903,145.0
1713435597.8247352,640883,155.0
1713438994.6890175,696415,167.0
1713443136.3498135,744389,178.0
1713448159.1207387,788661,185.0
1713451926.0740623,841564,198.0
1713454198.4062395,874568,206.0
1713457698.6000319,917369,215.0
1713460972.8834689,968900,225.0
