Wall time,Step,Value
1713396370.2147362,37036,20.0
1713398790.9855943,74103,28.0
1713402325.8097746,128803,40.0
1713405266.3958383,176823,48.0
1713407943.3813083,218437,53.0
1713411615.6004293,258683,58.0
1713415444.8394399,322220,70.0
1713417420.3592844,350514,70.0
1713420063.477753,389576,78.0
1713422198.4948456,422730,82.0
1713423903.9201727,450958,85.0
1713426284.77593,490071,92.0
1713428253.8824441,522631,98.0
1713430542.5984821,559577,103.0
1713432248.4647074,585903,106.0
1713435597.8247352,640883,115.0
1713438994.6890175,696415,126.0
1713443136.3498135,744389,134.0
1713448159.1207387,788661,142.0
1713451926.0740623,841564,152.0
1713454198.4062395,874568,156.0
1713457698.6010342,917369,162.0
1713460972.8834689,968900,170.0
