Wall time,Step,Value
1714345994.5262535,60703,15175.75
1714349019.4534936,99467,12433.375
1714351968.3319442,135848,11320.6669921875
1714354885.4266186,169717,10607.3125
1714357394.1853306,199891,9994.5498046875
1714359999.8008223,232927,9705.2919921875
1714361920.359779,257325,9190.1787109375
1714363870.6819582,280569,8767.78125
1714366034.2890573,307680,8546.6669921875
1714368742.1601171,337577,8439.4248046875
1714371047.9810998,363895,8270.3408203125
1714373090.5372617,388410,8091.875
1714375115.6120036,412022,7923.5
1714377159.3495069,436078,7787.10693359375
1714380102.993797,469658,7827.63330078125
1714382766.2995799,499741,7808.453125
1714384870.810887,523582,7699.7353515625
1714388306.6037135,557772,7746.83349609375
1714391778.6064348,592409,7794.85546875
1714394952.9590602,623390,7792.375
1714397791.1274514,650962,7749.5478515625
1714400586.1395195,678241,7707.2841796875
1714403618.9012392,708812,7704.47802734375
1714405752.77254,733292,7638.45849609375
1714408096.2089188,760588,7605.8798828125
1714410910.9718819,791457,7307.5400390625
1714412776.2586677,815149,7156.81982421875
1714414956.1225173,839310,7034.6201171875
1714418008.4806802,868059,6983.419921875
1714420887.346788,895651,6957.60009765625
1714423961.9159026,922977,6900.5
1714426315.22119,950619,6932.93994140625
1714428758.8415272,976726,6961.56982421875
