Wall time,Step,Value
1714345994.5262535,60703,55425.0
1714349019.4534936,99467,43312.5
1714351968.3319442,135848,35166.66796875
1714354885.4266186,169717,31337.5
1714357394.1853306,199891,28895.0
1714359999.8008223,232927,25387.5
1714361920.359779,257325,22039.28515625
1714363870.6819582,280569,19671.875
1714366034.2890573,307680,18061.111328125
1714368742.1601171,337577,17065.0
1714371047.9810998,363895,15936.36328125
1714373090.5372617,388410,14756.25
1714375115.6120036,412022,13790.384765625
1714377159.3495069,436078,12980.357421875
1714380102.993797,469658,12631.6669921875
1714382766.2995799,499741,12303.125
1714384870.810887,523582,11695.587890625
1714388306.6037135,557772,11388.888671875
1714391778.6074355,592409,11253.947265625
1714394952.9590602,623390,11078.75
1714397791.128452,650962,10808.3330078125
1714400586.1395195,678241,10540.9091796875
1714403618.9012392,708812,10467.3916015625
1714405752.77254,733292,10121.875
1714408096.2089188,760588,9894.0
1714410910.9718819,791457,7900.0
1714412776.2586677,815149,6728.0
1714414956.1225173,839310,6050.0
1714418008.4806802,868059,5508.0
1714420887.346788,895651,4841.0
1714423961.9159026,922977,4765.0
1714426315.22119,950619,4892.0
1714428758.8415272,976726,4999.0
