Wall time,Step,Value
1714345994.5262535,60703,10.0
1714349019.4534936,99467,19.0
1714351968.3319442,135848,27.0
1714354885.4266186,169717,35.0
1714357394.1853306,199891,44.0
1714359999.8008223,232927,54.0
1714361920.359779,257325,60.0
1714363870.6819582,280569,70.0
1714366034.2890573,307680,76.0
1714368742.1601171,337577,84.0
1714371047.9810998,363895,93.0
1714373090.5372617,388410,100.0
1714375115.6120036,412022,110.0
1714377159.3495069,436078,116.0
1714380102.993797,469658,125.0
1714382766.2985787,499741,133.0
1714384870.810887,523582,143.0
1714388306.6037135,557772,150.0
1714391778.6064348,592409,162.0
1714394952.9590602,623390,170.0
1714397791.1274514,650962,178.0
1714400586.1395195,678241,184.0
1714403618.9012392,708812,192.0
1714405752.77254,733292,203.0
1714408096.2089188,760588,211.0
1714410910.9718819,791457,219.0
1714412776.2586677,815149,226.0
1714414956.1225173,839310,233.0
1714418008.4786856,868059,242.0
1714420887.3447914,895651,251.0
1714423961.9159026,922977,259.0
1714426315.22119,950619,267.0
1714428758.840528,976726,273.0
