Wall time,Step,Value
1714345994.5262535,60703,16.0
1714349019.4534936,99467,21.0
1714351968.3319442,135848,28.0
1714354885.4266186,169717,31.0
1714357394.1853306,199891,34.0
1714359999.8008223,232927,39.0
1714361920.359779,257325,39.0
1714363870.6819582,280569,39.0
1714366034.2890573,307680,40.0
1714368742.1601171,337577,42.0
1714371047.9810998,363895,43.0
1714373090.5372617,388410,43.0
1714375115.6120036,412022,43.0
1714377159.3495069,436078,43.0
1714380102.993797,469658,45.0
1714382766.2985787,499741,48.0
1714384870.810887,523582,48.0
1714388306.6037135,557772,51.0
1714391778.6064348,592409,54.0
1714394952.9590602,623390,56.0
1714397791.1274514,650962,57.0
1714400586.1395195,678241,58.0
1714403618.9012392,708812,60.0
1714405752.77254,733292,60.0
1714408096.2089188,760588,61.0
1714410910.9718819,791457,63.0
1714412776.2586677,815149,63.0
1714414956.1225173,839310,63.0
1714418008.4806802,868059,63.0
1714420887.346788,895651,65.0
1714423961.9159026,922977,67.0
1714426315.22119,950619,68.0
1714428758.8415272,976726,70.0
