Wall time,Step,Value
1713944043.7339003,57581,14395.25
1713944312.436957,97943,12242.875
1713944637.8070333,142381,11865.0830078125
1713945210.9217257,187597,11724.8125
1713945731.477666,228420,11421.0
1713946032.4003804,268416,11184.0
1713946308.5220618,303120,10825.7138671875
1713946619.8590977,335411,10481.59375
1713947126.5172281,366668,10185.22265625
1713947780.4438982,416616,10415.400390625
1713948049.616982,453886,10315.5908203125
1713948343.0812752,492842,10267.5419921875
1713948599.441683,528692,10167.154296875
1713948807.6326168,557916,9962.7861328125
1713949045.8781283,591335,9855.5830078125
1713949243.4105973,617451,9647.671875
1713949602.4293163,666665,9803.8974609375
1713949821.8424096,697175,9682.986328125
1713950066.5704556,731324,9622.6845703125
1713950376.3294795,774621,9682.7626953125
1713950565.7918894,801195,9538.0361328125
1713950850.1179652,842535,9574.26171875
1713951131.5429058,884860,9618.0439453125
1713951417.8501914,928367,9670.4892578125
1713951634.5735464,961661,9616.6103515625
