Wall time,Step,Value
1713944043.7339003,57581,85550.0
1713944312.436957,97943,55475.0
1713944637.8070333,142381,48775.0
1713945210.9217257,187597,44393.75
1713945731.477666,228420,40900.0
1713946032.4003804,268416,37300.0
1713946308.5220618,303120,33171.4296875
1713946619.8590977,335411,31256.25
1713947126.5182688,366668,28088.888671875
1713947780.4438982,416616,27740.0
1713948049.616982,453886,26679.544921875
1713948343.0812752,492842,25422.916015625
1713948599.441683,528692,24615.384765625
1713948807.6326168,557916,23346.427734375
1713949045.8781283,591335,23200.0
1713949243.4105973,617451,22101.5625
1713949602.4293163,666665,22441.17578125
1713949821.8424096,697175,21838.888671875
1713950066.5704556,731324,21623.68359375
1713950376.3294795,774621,21490.0
1713950565.7918894,801195,20942.857421875
1713950850.1179652,842535,20354.544921875
1713951131.5429058,884860,20088.04296875
1713951417.8501914,928367,20033.333984375
1713951634.5735464,961661,19740.0
