Wall time,Step,Value
1713944043.7339003,57581,8.0
1713944312.436957,97943,17.0
1713944637.8070333,142381,27.0
1713945210.9217257,187597,35.0
1713945731.477666,228420,44.0
1713946032.4003804,268416,52.0
1713946308.5220618,303120,61.0
1713946619.8590977,335411,68.0
1713947126.5172281,366668,76.0
1713947780.4438982,416616,85.0
1713948049.616982,453886,94.0
1713948343.0812752,492842,104.0
1713948599.441683,528692,112.0
1713948807.6326168,557916,119.0
1713949045.8781283,591335,130.0
1713949243.4105973,617451,136.0
1713949602.4293163,666665,147.0
1713949821.8424096,697175,155.0
1713950066.5704556,731324,165.0
1713950376.3294795,774621,174.0
1713950565.7918894,801195,182.0
1713950850.1179652,842535,191.0
1713951131.5429058,884860,200.0
1713951417.8501914,928367,209.0
1713951634.5735464,961661,218.0
