Wall time,Step,Value
1713944043.7339003,57581,14.0
1713944312.436957,97943,20.0
1713944637.8070333,142381,28.0
1713945210.9217257,187597,34.0
1713945731.477666,228420,39.0
1713946032.4003804,268416,45.0
1713946308.5220618,303120,47.0
1713946619.8590977,335411,51.0
1713947126.5172281,366668,51.0
1713947780.4438982,416616,57.0
1713948049.616982,453886,62.0
1713948343.0812752,492842,65.0
1713948599.441683,528692,67.0
1713948807.6326168,557916,69.0
1713949045.8781283,591335,73.0
1713949243.4105973,617451,74.0
1713949602.4293163,666665,80.0
1713949821.8424096,697175,82.0
1713950066.5704556,731324,87.0
1713950376.3294795,774621,91.0
1713950565.7918894,801195,94.0
1713950850.1179652,842535,97.0
1713951131.5429058,884860,101.0
1713951417.8501914,928367,105.0
1713951634.5735464,961661,109.0
