Wall time,Step,Value
1714057460.019509,30574,7643.5
1714057557.7828531,64476,8059.5
1714057860.0568728,111248,9270.6669921875
1714058125.3254426,150795,9424.6875
1714058349.6880975,184342,9217.099609375
1714058527.94303,211373,8807.2080078125
1714058793.6146767,251908,8996.7138671875
1714059022.795917,286937,8966.78125
1714059265.0171754,323897,8997.138671875
1714059502.1993527,360095,9002.375
1714059702.435253,390696,8879.4541015625
1714059965.8238475,430922,8977.5419921875
1714060128.2243714,455726,8763.9619140625
1714060385.1231964,494961,8838.5888671875
1714060705.3211577,544202,9070.033203125
1714060904.2472763,575164,8986.9375
1714061075.1144834,601540,8846.1767578125
1714061362.4859352,645707,8968.15234375
1714061573.4673474,677967,8920.6181640625
1714061728.000886,701567,8769.587890625
1714061899.4898322,727750,8663.6904296875
1714062160.5269878,767633,8723.1025390625
1714062384.7669194,801872,8716.0
1714062537.6259382,825202,8595.8544921875
1714062698.10572,849782,8497.8203125
1714062872.6323361,876477,8459.0302734375
1714063107.311324,912382,8479.0595703125
1714063309.964127,943419,8321.7099609375
1714063450.1534956,964961,8141.66015625
1714063612.2830305,990067,8057.25
