Wall time,Step,Value
1714057460.019509,30574,10200.0
1714057557.7828531,64476,10637.5
1714057860.0568728,111248,13808.3330078125
1714058125.3254426,150795,12656.25
1714058349.6880975,184342,11915.0
1714058527.94303,211373,10245.8330078125
1714058793.6146767,251908,10189.2861328125
1714059022.795917,286937,11134.375
1714059265.0171754,323897,11063.888671875
1714059502.1993527,360095,10660.0
1714059702.435253,390696,10529.5458984375
1714059965.8238475,430922,10452.0830078125
1714060128.2243714,455726,9873.0771484375
1714060385.1231964,494961,10067.857421875
1714060705.3211577,544202,10500.0
1714060904.2472763,575164,10345.3125
1714061075.1144834,601540,10061.7646484375
1714061362.4859352,645707,10402.77734375
1714061573.4673474,677967,10492.10546875
1714061728.000886,701567,10313.75
1714061899.4898322,727750,10110.7138671875
1714062160.5269878,767633,10247.7275390625
1714062384.7669194,801872,10215.2177734375
1714062537.6259382,825202,9895.8330078125
1714062698.10572,849782,9589.0
1714062872.6323361,876477,9302.0
1714063107.311324,912382,9263.0
1714063309.964127,943419,8782.0
1714063450.1534956,964961,8493.0
1714063612.2830305,990067,8237.0
