Wall time,Step,Value
1714057460.019509,30574,8.0
1714057557.7828531,64476,14.0
1714057860.0568728,111248,24.0
1714058125.3254426,150795,33.0
1714058349.6880975,184342,40.0
1714058527.94303,211373,49.0
1714058793.6146767,251908,58.0
1714059022.795917,286937,66.0
1714059265.0171754,323897,75.0
1714059502.1993527,360095,85.0
1714059702.435253,390696,92.0
1714059965.8238475,430922,101.0
1714060128.2243714,455726,108.0
1714060385.122199,494961,118.0
1714060705.3211577,544202,127.0
1714060904.2472763,575164,135.0
1714061075.1144834,601540,144.0
1714061362.4859352,645707,153.0
1714061573.4663465,677967,160.0
1714061728.000886,701567,170.0
1714061899.4898322,727750,176.0
1714062160.5269878,767633,185.0
1714062384.7669194,801872,195.0
1714062537.6259382,825202,202.0
1714062698.10572,849782,208.0
1714062872.6323361,876477,217.0
1714063107.311324,912382,228.0
1714063309.964127,943419,235.0
1714063450.1534956,964961,242.0
1714063612.2830305,990067,253.0
