Wall time,Step,Value
1714057460.019509,30574,2.0
1714057557.7828531,64476,4.0
1714057860.0568728,111248,10.0
1714058125.3254426,150795,13.0
1714058349.6880975,184342,16.0
1714058527.94303,211373,16.0
1714058793.6146767,251908,19.0
1714059022.795917,286937,21.0
1714059265.0171754,323897,24.0
1714059502.1993527,360095,26.0
1714059702.435253,390696,28.0
1714059965.8238475,430922,31.0
1714060128.2243714,455726,31.0
1714060385.1231964,494961,33.0
1714060705.3211577,544202,39.0
1714060904.2472763,575164,41.0
1714061075.1144834,601540,42.0
1714061362.4859352,645707,46.0
1714061573.4663465,677967,49.0
1714061728.000886,701567,50.0
1714061899.4898322,727750,51.0
1714062160.5269878,767633,55.0
1714062384.7669194,801872,58.0
1714062537.6259382,825202,58.0
1714062698.10572,849782,58.0
1714062872.6323361,876477,58.0
1714063107.311324,912382,61.0
1714063309.964127,943419,63.0
1714063450.1534956,964961,63.0
1714063612.2830305,990067,63.0
