Wall time,Step,Value
1713931643.5409348,37043,9260.75
1713934094.6913645,82998,10374.75
1713937283.0026815,125412,10451.0
1713939478.2110934,152427,9526.6875
1713942864.1842637,191889,9594.4501953125
1713949700.0945997,269869,11244.5419921875
1713953433.7383056,311395,11121.25
1713959499.3939433,378019,11813.09375
1713964375.719927,430508,11958.5556640625
1713970019.789756,487128,12178.2001953125
1713973096.0267737,526778,11972.2275390625
1713977231.8091247,575415,11987.8125
1713980260.3772175,615982,11845.8076171875
1713982594.323131,646165,11538.6611328125
1713986411.0829823,696427,11607.1162109375
1713988820.4704995,727172,11362.0625
1713993372.520374,784263,11533.279296875
1713999380.3812432,845086,11737.3056640625
1714002926.2681334,887013,11671.2236328125
1714006441.8262017,926925,11586.5625
1714011634.79086,988630,11769.404296875
