Wall time,Step,Value
1713931643.5409348,37043,33650.0
1713934094.6913645,82998,33512.5
1713937283.0026815,125412,27991.666015625
1713939478.2110934,152427,23781.25
1713942864.1842637,191889,24245.0
1713949700.0955973,269869,29133.333984375
1713953433.7383056,311395,29346.427734375
1713959499.3939433,378019,32568.75
1713964375.7209268,430508,33061.109375
1713970019.789756,487128,33522.5
1713973096.027774,526778,32479.544921875
1713977231.8091247,575415,32606.25
1713980260.3772175,615982,32411.5390625
1713982594.323131,646165,31071.427734375
1713986411.0829823,696427,30885.0
1713988820.4704995,727172,30000.0
1713993372.520374,784263,30119.1171875
1713999380.3812432,845086,30502.77734375
1714002926.2681334,887013,30422.369140625
1714006441.8262017,926925,29951.25
1714011634.79086,988630,30305.953125
