Wall time,Step,Value
1713931643.5409348,37043,6.0
1713934094.6913645,82998,17.0
1713937283.0026815,125412,25.0
1713939478.2110934,152427,34.0
1713942864.1842637,191889,43.0
1713949700.0945997,269869,54.0
1713953433.7373145,311395,65.0
1713959499.3939433,378019,76.0
1713964375.719927,430508,87.0
1713970019.789756,487128,95.0
1713973096.0267737,526778,104.0
1713977231.8081248,575415,113.0
1713980260.3772175,615982,122.0
1713982594.323131,646165,132.0
1713986411.0819812,696427,143.0
1713988820.4694993,727172,151.0
1713993372.5193777,784263,160.0
1713999380.3812432,845086,172.0
1714002926.2681334,887013,181.0
1714006441.8252015,926925,189.0
1714011634.7898612,988630,200.0
