Wall time,Step,Value
1713931643.5409348,37043,4.0
1713934094.6913645,82998,12.0
1713937283.0026815,125412,17.0
1713939478.2110934,152427,19.0
1713942864.1842637,191889,24.0
1713949700.0945997,269869,34.0
1713953433.7373145,311395,40.0
1713959499.3939433,378019,51.0
1713964375.719927,430508,61.0
1713970019.789756,487128,69.0
1713973096.0267737,526778,74.0
1713977231.8091247,575415,82.0
1713980260.3772175,615982,87.0
1713982594.323131,646165,89.0
1713986411.0819812,696427,95.0
1713988820.4694993,727172,98.0
1713993372.5193777,784263,109.0
1713999380.3812432,845086,118.0
1714002926.2681334,887013,123.0
1714006441.8262017,926925,129.0
1714011634.79086,988630,137.0
