Wall time,Step,Value
1714170842.4169345,58686,14671.5
1714171674.3317308,90432,11304.0
1714172391.1017988,118586,9882.1669921875
1714173028.0741975,143125,8945.3125
1714173697.7930713,169456,8472.7998046875
1714174398.4437315,196565,8190.20849609375
1714174988.3197312,219672,7845.4287109375
1714175640.466124,244788,7649.625
1714176335.0948527,271624,7545.111328125
1714176996.6160645,297603,7440.0751953125
1714177632.778185,322103,7320.52294921875
1714178358.7797709,350429,7300.60400390625
1714179044.8615966,377855,7266.4423828125
1714179716.985148,403824,7211.14306640625
1714180437.6709125,431758,7195.966796875
1714181167.1547823,460046,7188.21875
1714181860.8164723,487423,7167.9853515625
1714182493.1476007,511773,7107.95849609375
1714183247.9171765,541158,7120.5
1714183913.148004,567369,7092.1123046875
1714184557.9598546,592596,7054.71435546875
1714185196.1180208,618133,7024.23876953125
1714185906.8249958,646056,7022.34765625
1714186568.8647907,671578,6995.60400390625
1714187259.3406615,698809,6988.08984375
1714187995.9554088,727416,6687.2998046875
1714188668.573242,753510,6630.77978515625
1714189304.135659,778476,6598.89990234375
1714189961.4725852,803862,6607.3701171875
1714190614.3160286,829558,6601.02001953125
1714191300.9546587,856130,6595.64990234375
1714191948.635979,880970,6612.97998046875
1714192556.1282775,904839,6600.509765625
1714193275.4688332,932806,6611.81982421875
1714193996.9182053,960734,6631.31005859375
1714194659.5416784,986817,6647.14013671875
