Wall time,Step,Value
1714170842.4169543,58686,54550.0
1714171674.331754,90432,32650.0
1714172391.1018212,118586,23791.666015625
1714173028.0742154,143125,18768.75
1714173697.7930903,169456,15680.0
1714174398.4437723,196565,13829.1669921875
1714174988.319752,219672,12314.2861328125
1714175640.4661431,244788,11081.25
1714176335.0948727,271624,10213.888671875
1714176996.6160846,297603,9450.0
1714177632.778204,322103,8845.4541015625
1714178358.7797897,350429,8327.0830078125
1714179044.8616168,377855,7875.0
1714179716.9851665,403824,7482.14306640625
1714180437.6709309,431758,7176.66650390625
1714181167.1548007,460046,6914.0625
1714181860.8164904,487423,6695.58837890625
1714182493.1476197,511773,6455.5556640625
1714183247.9171963,541158,6278.947265625
1714183913.1480222,567369,6125.0
1714184557.9598787,592596,5980.9521484375
1714185196.1180391,618133,5837.5
1714185906.825015,646056,5700.0
1714186568.8648126,671578,5560.41650390625
1714187259.3407178,698809,5463.0
1714187995.9554281,727416,3426.0
1714188668.57326,753510,3118.0
1714189304.1357205,778476,2973.0
1714189961.4726045,803862,2946.0
1714190614.3160484,829558,2938.0
1714191300.954678,856130,2855.0
1714191948.6359982,880970,2858.0
1714192556.1282969,904839,2872.0
1714193275.4688535,932806,2846.0
1714193996.9182234,960734,2848.0
1714194659.5417323,986817,2828.0
