Wall time,Step,Value
1714170842.4167404,58686,9.0
1714171674.331507,90432,19.0
1714172391.1015947,118586,24.0
1714173028.0740328,143125,34.0
1714173697.7929442,169456,40.0
1714174398.4434507,196565,49.0
1714174988.3195705,219672,56.0
1714175640.4659934,244788,65.0
1714176335.094701,271624,74.0
1714176996.615918,297603,81.0
1714177632.7780356,322103,90.0
1714178358.7796237,350429,99.0
1714179044.8614159,377855,104.0
1714179716.9849813,403824,114.0
1714180437.670764,431758,122.0
1714181167.1546643,460046,131.0
1714181860.8163323,487423,137.0
1714182493.147435,511773,146.0
1714183247.917058,541158,154.0
1714183913.1478732,567369,161.0
1714184557.9597158,592596,170.0
1714185196.1178565,618133,176.0
1714185906.824848,646056,185.0
1714186568.864602,671578,194.0
1714187259.3404663,698809,200.0
1714187995.9552805,727416,208.0
1714188668.5731142,753510,218.0
1714189304.1354387,778476,224.0
1714189961.4724772,803862,233.0
1714190614.3158822,829558,240.0
1714191300.9545438,856130,249.0
1714191948.6358676,880970,258.0
1714192556.128107,904839,265.0
1714193275.4687035,932806,274.0
1714193996.9180815,960734,282.0
1714194659.5414157,986817,289.0
