Wall time,Step,Value
1714170842.4169075,58686,12.0
1714171674.331697,90432,14.0
1714172391.1017728,118586,15.0
1714173028.0741732,143125,15.0
1714173697.7930472,169456,15.0
1714174398.4436648,196565,15.0
1714174988.3197029,219672,15.0
1714175640.4661005,244788,15.0
1714176335.094828,271624,15.0
1714176996.6160393,297603,15.0
1714177632.778161,322103,15.0
1714178358.7797446,350429,15.0
1714179044.8615685,377855,15.0
1714179716.985124,403824,15.0
1714180437.6708891,431758,15.0
1714181167.1547587,460046,15.0
1714181860.8164496,487423,15.0
1714182493.1475718,511773,15.0
1714183247.9171507,541158,15.0
1714183913.1479793,567369,15.0
1714184557.9598303,592596,15.0
1714185196.1179962,618133,15.0
1714185906.8249698,646056,15.0
1714186568.864762,671578,15.0
1714187259.3406153,698809,15.0
1714187995.9553838,727416,15.0
1714188668.5732186,753510,15.0
1714189304.1356018,778476,15.0
1714189961.472561,803862,15.0
1714190614.3160012,829558,15.0
1714191300.9546342,856130,15.0
1714191948.6359541,880970,15.0
1714192556.128249,904839,15.0
1714193275.4688077,932806,15.0
1714193996.918182,960734,15.0
1714194659.541627,986817,15.0
