#{"t_start": 1713465299.8654373, "env_id": null}
r,l,t
-27,332,4.112003
-177,210,6.587002
-112,313,9.961004
-177,208,12.340002
-101,209,14.97
0,291,18.264
-180,209,20.869
-17,483,26.169
-103,271,29.340001
-41,271,32.239001
-127,306,35.491003
-113,309,39.059
-177,243,41.808
-65,315,45.19
175,307,49.158002
-177,226,51.705002
-38,265,54.899
-63,202,57.635
-79,266,60.482002
-170,239,63.227001
7,372,67.542
-177,248,70.466
-177,295,74.097
-64,212,76.773
-29,214,79.331
-106,226,81.874039
-102,261,84.904002
74,329,158.846043
-83,334,162.752044
-148,249,165.780043
-170,270,169.004046
-143,245,172.034043
-64,255,175.415043
-177,187,177.661042
-150,233,180.400043
-148,257,183.680044
-65,259,186.846043
-99,218,189.488044
-82,301,192.985042
-117,254,196.273043
-102,285,199.649042
-31,438,204.458043
-113,383,208.824043
-140,187,211.170043
-93,270,214.392044
-177,238,217.078043
0,282,220.346044
43,369,225.010043
-49,240,228.067043
-77,270,231.204042
-19,335,234.743042
-151,285,237.849043
-17,276,241.260042
-170,296,315.071043
-39,277,317.765044
-114,385,321.911043
0,282,325.239044
-85,334,329.202042
38,352,333.192042
-141,242,335.880047
-145,236,338.872045
-18,278,342.090043
-27,234,345.123044
-90,431,349.946043
-121,282,353.187045
-43,250,356.148042
-46,506,362.020044
-92,267,365.223042
-93,312,368.689043
-102,235,371.551044
-170,224,374.213043
-171,222,376.859043
-91,259,379.597042
-13,278,383.048042
-148,381,387.442042
-68,379,391.839044
-137,258,394.642043
-140,250,397.464042
-89,250,470.688043
-122,244,473.637043
-171,210,476.120048
-143,382,480.491042
-90,275,483.773044
-47,306,487.515044
-49,215,490.042042
-143,208,492.451043
-135,329,496.547042
-63,308,500.058043
-184,220,502.769042
-64,282,505.831043
-122,369,509.873042
-69,258,512.699046
-143,207,515.150043
-104,306,518.463042
-151,275,521.566043
-116,253,524.480042
-33,282,527.573042
-142,318,530.690045
-3,284,533.951045
-103,361,537.494044
-102,399,542.176044
96,410,546.970043
-69,251,549.542048
-50,333,623.049044
-71,277,626.192044
-179,267,628.864044
-37,209,631.295043
0,294,634.450042
-39,338,638.099044
-124,352,641.948043
-52,269,645.015044
-104,328,648.449043
-121,267,651.165043
-4,312,654.279045
177,318,658.075043
-77,396,662.281043
-46,484,667.545043
0,233,669.992043
-2,343,673.876043
-135,371,678.028042
-41,388,682.500046
-140,293,685.526043
-139,320,688.885044
-34,272,691.740047
-61,227,694.126045
-101,248,696.623045
-6,297,699.740042
-177,4129,780.062067
-177,4129,788.047069
-177,4129,795.994068
-177,4129,804.005068
-177,4129,811.967067
