#{"t_start": 1714016901.8488479, "env_id": null}
r,l,t
2000,7478,13.347969
4000,5189,17.5418
6500,5862,21.696555
3500,5576,26.048484
2000,5799,30.359369
3000,6031,34.815092
4400,9267,41.491931
2000,6118,54.36611
2400,5044,89.523509
3900,5708,129.245009
6000,6612,179.954879
6200,7854,240.268747
4000,6277,287.560202
3000,5788,332.38218
23900,11351,420.506748
3500,5756,466.512904
3500,5227,508.515163
3000,5757,552.877371
1500,4932,591.018763
0,5680,635.806067
13300,9879,715.376759
2000,4340,750.453895
3500,6232,796.032184
3000,4919,832.019757
4000,6389,877.964354
3400,5825,921.659364
3500,6399,968.163237
5000,5040,1006.450148
5000,6159,1050.767413
9000,11231,1133.617177
4000,6942,1188.621876
1000,6511,1243.128158
4000,5853,1291.252753
2400,6008,1341.132245
1000,5119,1384.227583
4000,6043,1433.54847
2500,5547,1477.826176
3400,6132,1525.343842
3500,6149,1574.70822
0,7226,1633.20918
10700,11500,1725.384871
4000,6707,1777.29247
2200,7071,1830.922333
3000,5125,1870.526727
4400,6596,1922.301129
9400,12749,2019.704442
4400,5377,2060.232216
3500,5754,2103.002252
1000,5679,2142.814675
3700,6747,2191.607265
2500,6069,2238.102441
4800,6567,2286.670988
4400,6459,2335.534344
4000,5857,2377.895356
4200,7026,2426.934914
3000,6194,2471.306118
3000,6034,2513.901435
4300,5855,2555.357372
31300,15497,2664.186467
4600,6004,2706.359396
2200,6197,2750.097082
3400,5546,2790.394852
3700,6834,2839.664487
9000,11063,2919.012439
5000,7012,2969.060505
4000,7007,3019.38556
3000,6420,3065.145485
3200,5817,3106.576396
1000,7017,3156.557397
5500,7934,3212.814546
3700,6151,3256.957388
2300,6818,3306.399036
4000,5180,3343.394195
5000,6603,3390.852132
3000,7125,3442.585784
6800,8123,3501.118805
3500,5115,3537.649152
3500,6158,3582.026948
3200,5816,3623.332474
4000,7131,3675.520146
4900,6637,3724.089492
3400,5281,3762.692702
3100,5783,3803.461332
4000,5506,3844.87841
21300,8627,3914.017248
4500,6835,3970.0255
2800,5707,4015.798393
16400,11435,4111.785052
14000,9352,4192.143662
5000,4497,4229.249293
3000,5241,4272.307436
4900,6283,4324.856493
5000,5027,4364.678272
2200,5658,4406.118841
15300,10875,4486.33992
2600,5953,4531.358463
5700,5963,4576.073881
3000,6093,4624.608253
4000,8137,4691.996622
4200,5728,4738.71026
6900,12279,4843.055302
4000,6331,4897.926735
2000,4211,4930.921602
4500,6924,4981.360966
16500,9837,5053.650153
13000,11613,5138.314463
2400,6928,5188.060531
4000,5338,5226.92864
2800,5408,5265.922176
2100,7491,5319.374522
5000,7723,5375.150966
4800,5578,5419.416325
5000,6963,5476.359631
2500,5653,5522.576567
3300,5974,5571.885762
2600,5275,5616.405756
3000,7456,5674.848421
4000,5478,5715.776007
3300,6344,5764.753348
4700,6507,5813.976512
3000,5680,5857.476146
3900,5612,5898.799781
4800,5970,5942.302766
4000,6853,5992.367008
3000,6719,6041.530926
3400,7023,6092.152738
2000,6927,6141.960789
3500,5210,6179.856951
2800,7749,6237.8869
4400,6730,6290.470973
18800,10306,6368.550647
4100,5529,6409.059616
5500,6259,6455.663738
4000,6949,6506.397135
10200,11574,6590.987102
4400,6294,6637.134291
5500,6664,6685.726952
4300,5237,6724.467227
5000,7509,6778.381572
5000,7201,6830.727648
4400,5968,6874.921808
9900,12868,6969.90728
20000,15809,7085.8662
1000,7233,7138.15442
1000,6536,7186.053088
