#{"t_start": 1714001807.9310584, "env_id": null}
r,l,t
58300,17561,29.867915
23900,5923,34.215502
31200,10073,41.652816
45100,9921,48.723847
32900,13303,100.132086
44800,17551,220.624644
39700,10662,295.703062
75800,17334,418.344737
58300,10588,498.382408
900,5259,540.023385
2300,5393,583.218239
33700,12041,676.23104
2000,5703,717.647646
1600,5529,758.437513
1300,5720,800.202618
24000,7978,858.391902
9100,7633,914.626509
14500,13048,1010.596539
19000,9143,1076.428172
1300,6168,1120.916304
1100,6005,1167.003278
7500,8519,1227.914564
2300,6272,1270.742514
14700,6913,1320.446431
7300,9942,1394.034113
1100,4346,1427.28994
8300,6925,1480.0236
41600,14267,1592.022708
1700,5182,1631.640734
1500,6298,1679.527155
26500,11278,1760.341484
900,3731,1785.621194
2000,6028,1828.358105
2100,5698,1869.024918
1000,4299,1901.494738
2500,5508,1941.877693
1200,5888,1986.22222
800,3272,2011.210035
7000,6342,2057.786207
21900,14148,2166.684914
19500,11916,2258.030359
2400,5077,2297.210672
1600,5091,2336.013359
17100,9566,2412.574103
16500,7948,2470.727192
7000,9921,2542.631412
1000,5837,2589.009397
1700,6261,2637.56645
13600,7334,2687.914737
11800,7765,2740.554677
2300,5490,2778.418071
15900,7476,2830.133487
1100,6269,2873.411689
18000,7001,2924.634697
16900,9032,2989.277567
1100,5790,3030.935487
12600,7474,3084.148309
1100,4333,3115.35291
3000,5382,3153.556312
1800,5360,3191.708747
2500,5954,3234.27091
1600,4690,3267.101262
1400,4979,3303.409488
1700,4810,3342.818604
1700,5786,3386.858395
32400,13821,3489.571104
1700,5552,3528.301188
900,3917,3555.587049
18400,6651,3603.37885
1500,6024,3648.416215
1700,5193,3689.653374
2500,4840,3727.614953
700,4432,3760.127551
1900,6730,3809.661803
5500,9352,3880.616689
12900,8455,3944.735498
1000,5812,3986.53846
17200,7844,4043.355183
13300,6324,4086.388628
20700,11912,4168.175084
13600,6838,4217.944162
15300,6306,4263.085345
1600,6623,4311.298178
1300,4422,4343.317227
1000,3607,4369.543244
17900,7972,4428.657512
35300,17680,4587.215144
2700,4141,4619.106047
14400,8591,4685.012137
1500,5884,4727.633598
1700,6149,4771.937603
2100,5172,4808.674577
9900,10231,4881.670889
1300,6059,4926.318071
13600,6711,4975.882152
34600,11869,5066.479455
30100,14441,5170.728028
1500,3459,5195.504369
2000,6311,5240.929348
6000,9112,5306.655919
2000,6145,5351.880777
1900,6184,5398.259225
1200,4283,5429.479268
800,5618,5470.635162
15200,7534,5525.747977
1900,7029,5576.622151
2800,5355,5615.443557
1900,5043,5651.876863
1800,5338,5689.409868
42500,12214,5775.759905
21000,14598,5885.254128
16400,6159,5928.956281
2100,6413,5973.752259
16700,9226,6040.278113
17700,7037,6094.650363
2200,4748,6131.706776
1800,5324,6170.418133
2400,5007,6206.467319
5400,9555,6274.937891
29600,14635,6379.158474
15400,7708,6434.353487
1700,4367,6465.530744
1400,5601,6505.125949
8700,7811,6560.498849
900,3890,6587.874557
1500,6614,6634.742481
14700,8756,6697.244416
2100,6945,6746.54928
1100,4197,6776.089752
500,3784,6802.767082
17200,5568,6842.094609
11000,8509,6902.360183
1900,4969,6938.083999
2100,4538,6970.563872
