#{"t_start": 1713925785.7800493, "env_id": null}
r,l,t
16000,7817,55.957705
14400,5959,62.55167
139100,19614,80.899071
154100,22648,192.265401
151000,24287,572.980003
24100,4832,649.146393
124500,17426,868.391777
4600,6634,915.498791
33200,12883,1005.649141
2000,5162,1041.886216
3400,7686,1094.818799
20900,9014,1155.402362
2400,6791,1201.960634
3300,6059,1243.814597
18900,8487,1301.342168
3800,5881,1341.665298
14300,8562,1401.451594
2500,5744,1441.136102
3900,8014,1496.438531
17500,11669,1578.110211
4500,5968,1620.73152
2800,5427,1659.574902
2400,5923,1702.031559
23700,7958,1759.448753
22800,7199,1813.271808
3600,6832,1859.694597
19900,9170,1922.978329
1900,5670,1964.22171
48500,15226,2081.254756
20800,8054,2142.957944
29400,7289,2199.276638
24800,6853,2251.662865
17600,9348,2324.462906
42000,19233,2462.269311
69200,15503,2694.632661
22400,7532,2811.40512
6100,10167,2966.913482
14300,7988,3095.563738
4600,6893,3206.037415
2400,5115,3289.854233
62200,21433,3634.381945
27700,7540,3705.864995
10100,9187,3769.572937
1900,5525,3807.78869
2700,6033,3848.997983
10400,10018,3930.840683
3300,5524,4019.008018
22100,7275,4134.148619
2800,4959,4212.242524
900,5670,4300.043283
81800,18800,4590.821178
14300,11099,4680.413007
2900,6224,4727.98462
3000,6048,4774.840995
21100,8629,4840.009822
4700,6575,4888.636997
5600,9413,4959.26594
4400,4635,4994.720903
3500,7327,5050.055389
10700,10174,5126.972983
11500,9271,5196.725018
121100,25079,5376.544134
3500,8514,5438.114414
57100,31254,5886.211083
3900,7444,6004.08735
14000,10855,6174.373032
2600,5587,6263.019444
14800,8144,6379.190653
11200,9383,6447.901462
55100,24371,6625.064096
3200,6272,6671.244767
3900,7139,6723.804952
16600,10385,6800.615011
13400,11680,6883.971329
3400,6171,6928.459023
2500,6744,6977.075649
3700,6876,7054.240994
4500,6471,7159.849568
2600,5829,7255.265151
44300,12741,7453.179754
27600,9253,7595.909453
2600,6516,7696.778174
21700,7180,7807.303982
4000,4983,7884.796048
1700,7346,7999.008248
22300,9269,8128.457919
4100,7057,8177.316031
3800,5004,8211.962132
3200,5954,8254.154998
2900,6577,8300.656772
83800,21682,8451.642802
3600,6104,8493.691163
3500,7353,8545.327754
24700,16160,8657.733971
11300,9256,8722.117898
1800,4754,8754.737248
2800,6328,8798.469356
61100,20953,8944.033245
3300,6466,8989.473147
18100,9445,9055.610994
26600,8149,9112.52667
2600,5712,9154.438667
3100,5588,9196.167087
38200,17452,9317.479811
1000,5575,9356.145124
2800,5597,9395.295739
