#{"t_start": 1714057437.3622112, "env_id": null}
r,l,t
3600,7431,7.291181
22100,9873,13.843271
2200,4239,16.662957
12900,9031,22.655287
12500,10230,29.41947
25600,9233,35.864203
3000,7720,80.539497
3200,6719,120.418641
17000,10168,181.83879
30800,13912,271.151007
13200,11390,346.82359
19600,11302,422.692662
11000,10862,495.56235
3700,6208,537.151285
18400,16473,647.721539
3700,6004,687.961233
9000,9248,750.013928
2800,5455,786.408541
11000,8182,841.049626
13000,10662,912.323887
1100,5563,949.627637
2300,8196,1003.711004
2600,7408,1052.116955
1600,5864,1090.578819
2700,6249,1131.469889
3400,8484,1187.080846
24000,16051,1292.331131
9300,9751,1356.250465
2100,6870,1401.175707
2900,7625,1451.069353
39700,13288,1537.953593
26300,7246,1585.431703
3200,6761,1629.830969
3500,5400,1665.122849
3200,7638,1715.198816
32100,17161,1827.652963
19400,14818,1924.757855
2800,7586,1974.5354
2900,6885,2019.562594
3000,6909,2064.835144
8900,10942,2136.480597
23600,8053,2189.094501
2000,6015,2228.496141
2400,5591,2265.071041
2500,6599,2308.242935
16000,16313,2415.143866
2800,7707,2465.533464
17100,9607,2528.460635
3200,5907,2567.147585
3500,5701,2604.565566
3100,7703,2654.92653
1900,5493,2690.858156
2800,7788,2741.858638
1900,6314,2783.18393
3000,5463,2818.958618
42700,19670,2947.757984
25900,16703,3056.846643
34600,21329,3195.10581
2300,4338,3223.212294
3400,6871,3267.956945
26500,13027,3352.690599
2000,5795,3389.904937
2500,6546,3431.332645
1100,5594,3466.883065
2100,5271,3500.288183
3800,5559,3536.402716
13100,9896,3600.90744
3100,5650,3637.750272
3600,7028,3683.496316
53000,25161,3847.098965
4200,5836,3884.995989
4000,6142,3925.121723
2200,6009,3964.394755
23500,12738,4047.712084
20500,9268,4108.428592
2200,4245,4136.102135
1900,5681,4173.379094
1900,5526,4209.533177
23200,6685,4253.256634
700,5708,4290.636674
9500,9144,4350.465701
3000,5282,4385.061088
1100,4928,4417.380545
10600,6829,4462.12462
28400,17765,4578.394511
3700,6665,4622.001152
18100,9307,4682.985531
2300,6146,4723.162778
2800,4864,4755.047431
7300,7726,4805.637455
5800,9853,4870.182315
22100,11796,4947.399706
2000,4361,4975.982022
3700,6270,5017.185855
2700,5891,5055.672188
1800,6808,5100.261359
2100,7088,5146.613671
2800,5902,5185.047499
1400,6879,5230.048604
2600,4711,5260.74151
3000,7922,5312.454114
2700,6413,5354.391
3700,6987,5400.212585
2700,5373,5435.268126
3800,5184,5469.191
2000,6020,5508.509309
18800,17375,5622.017477
15800,7326,5669.947113
2200,5873,5708.235104
26200,14138,5800.675831
2200,6529,5843.214983
1900,4497,5872.599918
1400,5355,5907.514679
2400,5142,5941.093991
3600,7710,5991.20062
500,3335,6012.789284
2600,6077,6052.127364
2700,5282,6085.738923
2300,6798,6129.649516
2600,6949,6174.918819
1400,5301,6209.453843
